Nombre,SKU,Categoría,Marca,Costo,Precio Venta,Stock
Short Elda.Sastrero cpinza y cordón,0264,Shorts,OnenOn,11900.0000|11900.0000,20825.0000|20825.0000,0
Musculosa Percy.Morley vintage cuello en U,0265,Musculosas,OnenOn,5300,9275,0
Remera Tamia.Micro morley cuello en U,0266,Remeras,OnenOn,6500.0000|6500.0000|6500.0000,11375.0000|11375.0000|11375.0000,0
Palazo Fiona.Hawaii ccordón tela y bolsillo,0267,Pantalones,OnenOn,12500.0000|12500.0000,21875.0000|21875.0000,0
Remera Pixie.Crepe viscosa costado fruncido,0268,Remeras,OnenOn,5000.0000|5000.0000|5000.0000,8750.0000|8750.0000|8750.0000,0
Remera Fernie.Morley diesel básica con manga puño,0269,Remeras,OnenOn,5500.0000|5500.0000,9625.0000|9625.0000,0
Remera Willow.Morley diesel básica,0270,Remeras,OnenOn,5500.0000|5500.0000|5500.0000,9625.0000|9625.0000|9625.0000,0
Remera Bell.Morley rayado con puño en manga,0271,Remeras,OnenOn,5000,8750,0
Remera (Modal) Mano de Dama,0272,Remeras,Cabana,7450,13037.5,0
Musculosa Sacamander piedras,0273,Musculosas,Rumba,12000,21000,0
Remera SHEILA bordada,0274,Remeras,LSK,17000,29750,0
Short Mubba Matizado,0275,Shorts,Nissie,17000.0000|17000.0000|17000.0000,29750.0000|29750.0000|29750.0000,0
Short Allende conjunto,0276,Shorts,Samara,16000.0000|16600.0000|16000.0000,28000.0000|29050.0000|28000.0000,0
Conjunto Palazzo y Puperon morley rayas finitas,0277,Conjuntos,The Maker,18000.0000|18000.0000,31500.0000|31500.0000,0
Curazao - Bermuda blanca con rotura,0278,Bermudas,CC Jeans,16000.0000|16000.0000|16000.0000,28000.0000|28000.0000|28000.0000,0
Short animal print modal soft,0279,Shorts,The Maker,10000,17500,0
NUÑEZ - BERMUDA BAGGY CASCARILLA,0280,Bermudas,CC Jeans,16500.0000|16500.0000|16500.0000|16500.0000|16500.0000,28875.0000|28875.0000|28875.0000|28875.0000|28875.0000,0
SAN AGUSTIN - BERMUDA NEGRO MARMOLADO,0281,Bermudas,CC Jeans,18000.0000|18000.0000|18000.0000|18000.0000|18000.0000,31500.0000|31500.0000|31500.0000|31500.0000|31500.0000,0
CHACABUCO BRILLOS - BERMUDA NEGRA CON STRASS NEGRO,0282,Bermudas,CC Jeans,21000.0000|21000.0000|21000.0000|21000.0000|21000.0000,36750.0000|36750.0000|36750.0000|36750.0000|36750.0000,0
